Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-8206.37	-8459.265	252.8949	0.7997116	0.5945608	6.291377
6	-8199.418	-8451.871	252.4529	0.8723667	0.7198506	6.399024
12	-8192.213	-8443.52	251.3065	0.7251295	0.6202804	7.169637
18	-8207.053	-8458.471	251.418	0.7390996	0.536282	7.169637
24	-8214.551	-8466.252	251.7004	0.8304202	0.6004804	6.916267
30	-8223.501	-8475.325	251.8237	0.8201647	0.526214	6.916267
36	-8223.604	-8475.371	251.7665	0.7742681	0.6728767	6.856525
42	-8209.852	-8461.163	251.311	0.8237237	0.5997979	7.130059
48	-8210.702	-8463.101	252.3989	0.826531	0.6204582	6.52557
54	-8196.392	-8447.133	250.7408	0.826531	0.6376939	7.405744
60	-8198.605	-8450.398	251.7926	0.826531	0.579593	6.885228
66	-8200.805	-8453.219	252.4133	0.8006938	0.6809718	6.486802
72	-8209.404	-8461.831	252.4272	0.8704138	0.5946587	6.506603
78	-8199.404	-8451.417	252.0134	0.8479361	0.541363	6.786061
84	-8202.137	-8454.412	252.2749	0.813486	0.541363	6.663445
90	-8202.829	-8454.287	251.4582	0.7764234	0.5184829	7.143237
96	-8199.367	-8450.675	251.308	0.7476761	0.6381514	7.143237
102	-8208.653	-8459.818	251.1649	0.7792327	0.6381514	7.203171
108	-8210.54	-8462.767	252.227	0.7800184	0.5675325	6.685636
114	-8210.885	-8463.84	252.9548	0.8761323	0.5565468	6.248215
120	-8208.27	-8459.918	251.6483	0.8171098	0.5400584	7.000613
126	-8219.219	-8471.458	252.2382	0.8158238	0.551061	6.673835
132	-8218.56	-8470.718	252.158	0.7615125	0.6432107	6.673835
138	-8226.345	-8477.9	251.5551	0.8713443	0.5774065	6.990822
144	-8219.024	-8470.965	251.9412	0.8426725	0.5702739	6.803904
150	-8206.621	-8458.25	251.6295	0.8002671	0.5520967	7.00971
156	-8215.394	-8466.453	251.0594	0.8145388	0.5653665	7.297638
162	-8198.832	-8450.698	251.8665	0.8062191	0.6474806	6.803894
168	-8199.846	-8451.293	251.4475	0.7487332	0.6232744	7.078843
174	-8202.464	-8452.049	249.5845	0.746388	0.6622307	8.048782
180	-8208.305	-8459.898	251.5932	0.7304255	0.5792544	7.044686
186	-8215.663	-8466.008	250.345	0.722251	0.5278934	7.760835
192	-8218.082	-8468.443	250.3609	0.7066826	0.7149895	7.618173
198	-8224.996	-8474.941	249.9449	0.646927	0.6205084	7.940454
204	-8221.518	-8472.019	250.5009	0.7017885	0.620994	7.61368
210	-8211.371	-8461.838	250.467	0.7797405	0.5904365	7.61368
216	-8205.504	-8456.013	250.5088	0.7379611	0.5904365	7.61368
222	-8203.487	-8455.277	251.7897	0.7835553	0.5952304	6.897525
228	-8204.76	-8455.91	251.1503	0.7500304	0.575625	7.275177
234	-8218.885	-8469.593	250.7087	0.7024395	0.6077846	7.512183
240	-8206.868	-8457.443	250.5757	0.7496945	0.5741272	7.584594
246	-8207.611	-8460.185	252.5742	0.8220877	0.5741272	6.469611
252	-8207.426	-8459.946	252.5192	0.8527099	0.6004279	6.461771
258	-8214.407	-8466.997	252.59	0.9194064	0.7042803	6.309949
264	-8216.726	-8468.544	251.818	0.9492643	0.5735647	6.810236
270	-8211.801	-8463.444	251.6428	0.8858901	0.6283516	6.895961
276	-8214.091	-8465.91	251.8181	0.8695108	0.5223934	6.895961
282	-8205.454	-8456.053	250.599	0.6958557	0.6118092	7.571321
288	-8207.11	-8458.839	251.7297	0.7468173	0.5308518	7.002433
294	-8206.43	-8459.411	252.9811	0.8669969	0.5705007	6.227369
300	-8208.042	-8460.967	252.9248	0.8558989	0.6164562	6.227369
306	-8203.351	-8454.11	250.7592	0.7949144	0.5721736	7.463621
312	-8207.451	-8460.247	252.7959	0.8513668	0.5420249	6.360155
318	-8204.298	-8457.216	252.9181	0.8706341	0.5420249	6.283372
324	-8203.034	-8455.988	252.9536	0.8804852	0.5885677	6.220325
330	-8209.393	-8462.385	252.9916	0.8424753	0.5885677	6.220325
336	-8216.518	-8468.834	252.3161	0.8424753	0.5885677	6.586689
342	-8204.85	-8456.748	251.8976	0.8312312	0.5764406	6.828598
348	-8212.086	-8462.782	250.6969	0.7685718	0.5510978	7.528356
354	-8222.182	-8472.298	250.1165	0.7552877	0.5380754	7.856638
360	-8216.75	-8468.203	251.4531	0.7847723	0.655808	7.032155
366	-8213.687	-8466.226	252.5395	0.8377919	0.5498592	6.499944
372	-8214.9	-8465.737	250.8372	0.747352	0.5682844	7.450447
378	-8208.303	-8458.575	250.2717	0.7848706	0.6351996	7.681139
384	-8205.623	-8456.028	250.4052	0.7110817	0.5331718	7.730141
390	-8203.438	-8456.964	253.526	0.7988935	0.5730058	5.965614
396	-8197.735	-8450.2	252.4651	0.9117232	0.6339816	6.433195
402	-8214.559	-8465.925	251.3668	0.7879175	0.5679327	7.144677
408	-8206.943	-8457.334	250.3919	0.7247746	0.5859346	7.686807
414	-8198.042	-8449.62	251.5774	0.7119566	0.5859346	7.057817
420	-8216.793	-8468.887	252.0941	0.7064266	0.5593004	6.803902
426	-8218.884	-8469.871	250.9862	0.7074642	0.6423246	7.334534
432	-8207.286	-8459.023	251.7366	0.7442289	0.6457537	6.908714
438	-8212.093	-8464.887	252.7939	0.8700155	0.6888011	6.237032
444	-8219.812	-8472.6	252.7886	0.8967117	0.6301724	6.268662
450	-8208.736	-8461.631	252.8956	0.8478037	0.5897966	6.268662
456	-8204.245	-8456.923	252.6785	0.8219296	0.6714764	6.338312
462	-8206.961	-8458.688	251.7264	0.8393898	0.5660598	6.924968
468	-8211.887	-8463.529	251.6418	0.782489	0.6129932	6.963957
474	-8212.322	-8464.084	251.7622	0.73588	0.5630144	6.963957
480	-8207.058	-8458.583	251.5244	0.8243455	0.6674489	6.963957
486	-8201.653	-8454.478	252.8251	0.8510797	0.6762136	6.239424
492	-8206.726	-8458.596	251.8705	0.8201645	0.6549639	6.788684
498	-8204.946	-8456.58	251.6336	0.8183803	0.6756974	6.902324
504	-8211.471	-8463.132	251.6611	0.8317411	0.6456037	6.902324
510	-8221.192	-8471.932	250.7395	0.8656498	0.5747819	7.434186
516	-8208.024	-8459.772	251.7474	0.8428841	0.6476754	6.848223
522	-8203.166	-8454.652	251.4859	0.8428841	0.5512014	7.064835
528	-8199.526	-8450.841	251.3145	0.8110609	0.5994988	7.135194
534	-8202.8	-8454.182	251.3826	0.7429937	0.5994988	7.135194
540	-8203.038	-8455.119	252.0808	0.8256421	0.5352726	6.766886
546	-8204.621	-8456.776	252.1547	0.7875032	0.5617489	6.725437
552	-8207.509	-8457.682	250.1727	0.7279542	0.6349722	7.764637
558	-8212.739	-8462.41	249.6715	0.6887211	0.5124613	8.151319
564	-8211.97	-8463.379	251.4086	0.7021813	0.5212977	7.207343
570	-8204.928	-8455.283	250.355	0.6897985	0.5831409	7.727467
576	-8202.674	-8454.332	251.6584	0.7785137	0.5847624	6.979318
582	-8216.36	-8469.814	253.454	0.9389727	0.5606777	5.938622
588	-8221.85	-8473.433	251.5828	0.8411039	0.6845416	6.911142
594	-8209.419	-8463.821	254.4023	0.9546757	0.7888048	5.240836
600	-8210.645	-8464.312	253.6671	0.921539	0.7888048	5.663846
606	-8210.566	-8462.541	251.9755	0.866087	0.5095017	6.824184
612	-8211.12	-8463.579	252.4594	0.820163	0.6226023	6.494606
618	-8207.114	-8459.816	252.7019	0.905257	0.617467	6.320875
624	-8210.894	-8463.803	252.9083	0.8866844	0.6694077	6.179759
630	-8210.864	-8462.063	251.1995	0.7852178	0.5738834	7.231234
636	-8212.142	-8464.142	252.0002	0.8212989	0.505959	6.838159
642	-8191.844	-8443.367	251.5223	0.7275421	0.6139183	7.057167
648	-8207.445	-8458.348	250.9034	0.7973375	0.6139183	7.352205
654	-8206.093	-8457.929	251.836	0.7885147	0.6927006	6.797124
660	-8204.704	-8456.679	251.9756	0.7885147	0.5920444	6.797124
666	-8204.936	-8456.185	251.2492	0.7528461	0.6202352	7.185594
672	-8205.656	-8456.884	251.2281	0.7992015	0.6202352	7.172001
